Cidade;Escola;Questao;Resposta;Respondente;AnoDaAvaliacao
ÁGUA CLARA;EE CHICO MENDES;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Carta Convite;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Carta Convite;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Pregão;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Pregão;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;A escola é atendida com o transporte escolar do Programa Nacional de Apoio ao Transporte Escolar-PNATE;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;A escola é atendida com o transporte escolar do Programa Nacional de Apoio ao Transporte Escolar-PNATE;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;A escola possui elevadores ou plataformas elevatórias;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;A escola possui elevadores ou plataformas elevatórias;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;A escola realiza Chamada Pública para aquisição de produtos alimentícios por meio da Agricultura Familiar;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;A escola realiza Chamada Pública para aquisição de produtos alimentícios por meio da Agricultura Familiar;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;APM;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;APM;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;As cópias dos Atos Oficiais que atestam o credenciamento da escola e a autorização de funcionamento das etapas oferecidas estão afixadas em local visível e acessível ao público;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;As cópias dos Atos Oficiais que atestam o credenciamento da escola e a autorização de funcionamento das etapas oferecidas estão afixadas em local visível e acessível ao público;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;As matrículas dos estudantes estão deferidas pela direção;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;As matrículas dos estudantes estão deferidas pela direção;Sim;Diretores;2018
