AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;Curso;AnoFase;Idade;QuantidadeMatriculas
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Final - 8º e 9º anos;13;2
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Final - 8º e 9º anos;14;1
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Final - 8º e 9º anos;15;12
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Final - 8º e 9º anos;16;8
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Final - 8º e 9º anos;17;6
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Intermediário - 6º e 7º anos;13;1
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Intermediário - 6º e 7º anos;14;3
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Intermediário - 6º e 7º anos;15;9
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Intermediário - 6º e 7º anos;16;11
2018;Água Clara;EE CHICO MENDES;AJA-MS-Ensino Fundamental;Bloco Intermediário - 6º e 7º anos;17;5
2018;Água Clara;EE CHICO MENDES;Curso Técnico em Informática (Concomitante) MEDIOTEC;Módulo III;16;1
2018;Água Clara;EE CHICO MENDES;Curso Técnico em Informática (Concomitante) MEDIOTEC;Módulo III;17;10
2018;Água Clara;EE CHICO MENDES;Curso Técnico em Informática (Concomitante) MEDIOTEC;Módulo III;18;11
2018;Água Clara;EE CHICO MENDES;Curso Técnico em Informática (Concomitante) MEDIOTEC;Módulo III;19;1
2018;Água Clara;EE CHICO MENDES;Curso Técnico em Informática (Concomitante) MEDIOTEC;Módulo III;20;1
2018;Água Clara;EE CHICO MENDES;Curso Técnico em Informática (Concomitante) MEDIOTEC;Módulo III;35;1
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;1º Ano;5;19
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;1º Ano;6;49
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;1º Ano;7;5
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;2º Ano;6;22
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;2º Ano;7;24
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;2º Ano;8;2
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;3º Ano;6;1
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;3º Ano;7;19
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;3º Ano;8;23
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;3º Ano;9;3
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;3º Ano;10;2
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;4º Ano;7;1
2018;Água Clara;EE CHICO MENDES;Ensino Fundamental;4º Ano;8;16
