Cidade;Escola;GestaoAdministrativa;GestaoPedagogica;GestaoDeInfraestrutura;GestaoDeInteracao;NotaDaEscola;AnoDaAvaliacao
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;9.17436;8.67901;8.26950;8.27536;8.48504;2018
DOURADOS;CEEJA DE DOURADOS/ MS;9.34905;8.99243;9.10831;7.65607;8.83807;2018
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;9.61503;9.06893;8.22483;9.39227;8.87586;2018
NAVIRAÍ;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SEN. RAMEZ TEBET;9.27951;8.48897;8.49956;8.99790;8.64997;2018
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;8.43548;7.95277;7.28876;7.18587;7.61751;2018
LADÁRIO;EE 2 DE SETEMBRO;9.71846;9.52579;9.68576;9.36368;9.58688;2018
CAMPO GRANDE;EE 26 DE AGOSTO;7.99921;7.54707;7.32562;7.27042;7.46843;2018
IGUATEMI;EE 8 DE MAIO;8.31189;7.98691;7.35977;7.45639;7.68955;2018
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;8.32975;7.95638;7.73011;7.72443;7.87399;2018
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;8.04293;7.42020;6.64591;7.54702;7.23314;2018
TRÊS LAGOAS;EE AFONSO PENA;7.97806;7.70018;6.78626;7.00335;7.24318;2018
SELVÍRIA;EE ANA MARIA DE SOUZA;7.86801;8.35396;7.84735;8.09674;8.04928;2018
IVINHEMA;EE ANGELINA JAIME TEBET;7.68758;7.71397;6.81858;6.77180;7.18066;2018
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;9.13388;8.34873;7.30762;8.11192;7.96927;2018
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;7.80438;7.48690;6.58847;7.10137;7.11010;2018
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;8.74178;8.09048;8.28623;8.19218;8.25876;2018
NAVIRAÍ;EE ANTONIO FERNANDES;8.77848;8.64702;8.07158;8.55602;8.41428;2018
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;9.04558;8.88727;8.72906;8.73587;8.82323;2018
TERENOS;EE ANTÔNIO NOGUEIRA DA FONSECA;8.37081;8.24793;7.80776;7.89942;8.03881;2018
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;8.74919;8.17406;7.24462;7.73896;7.76573;2018
CAARAPÓ;EE ARCÊNIO ROJAS;8.78662;8.10580;8.43817;7.97108;8.29376;2018
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;8.46147;8.24225;8.05623;8.23406;8.18379;2018
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;8.86459;8.81316;8.22102;8.38593;8.50079;2018
BONITO;EE BONIFÁCIO CAMARGO GOMES;7.82950;7.26542;7.51920;7.05794;7.40026;2018
MIRANDA;EE CAETANO PINTO;8.01229;7.60640;8.21572;7.56553;7.88963;2018
AQUIDAUANA;EE CÂNDIDO MARIANO;8.32655;8.03293;6.46841;7.68763;7.40978;2018
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;8.21486;7.94963;7.13170;7.38705;7.55274;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;8.82677;8.63964;8.57422;8.39830;8.59893;2018
DOURADOS;EE CASTRO ALVES;8.78684;8.14665;7.49214;7.73191;7.88821;2018
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;8.64539;8.34704;7.18790;7.92066;7.84882;2018
