AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2018;Campo Grande;C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA;692;261;431;0;25;0;75;585;7;0;0
2018;Campo Grande;CEEJA - PROFª. IGNÊS DE LAMÔNICA GUIMARÃES;2490;2022;468;0;151;0;0;0;0;2339;0
2018;Camapua;CEEP MARCIO ELIAS NERY;255;162;93;16;26;0;1;177;35;0;0
2018;Campo Grande;CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. CENTRO DE TRIAGEM ANISIO LIMA;19;0;19;0;0;0;0;15;4;0;0
2018;Tres Lagoas;CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. COLÔNIA PENAL INDUSTRIAL PARACELSO DE LIMA VIEIRA JESUS;20;0;20;0;0;0;0;0;0;20;0
2018;Tres Lagoas;CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. ESTABELECIMENTO PENAL FEMININO DE TRÊS LAGOAS;14;0;14;0;0;0;0;0;0;14;0
2018;Tres Lagoas;CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. PENITENCIÁRIA DE TRÊS LAGOAS;20;0;20;0;0;0;0;0;0;20;0
2018;Campo Grande;CEEP PROFª MARIA DE LOURDES WIDAL ROMA-EXT.EST.PENAL FEM DE REG.SEMIABERTO,ABERTO E ALBERGADA;12;0;12;0;0;0;0;0;0;12;0
2018;Ponta Pora;CEEP PROFªEVANILDE COSTA DA SILVA-EXT. UNIDADE PENAL RICARDO BRANDÃO;20;0;20;0;0;0;0;17;3;0;0
2018;Rio Brilhante;CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL DE RIO BRILHANTE;20;0;20;0;0;0;0;17;3;0;0
2018;Jatei;CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEM.LUIZ PEREIRA DA SILVA;19;0;19;0;0;0;0;15;4;0;0
2018;Ponta Pora;CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEMININO DE PONTA PORÃ;20;0;20;0;0;0;0;0;0;20;0
2018;Dourados;CEEP PROFªEVANILDE COSTA DA SILVA-EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS;20;0;20;0;0;0;0;18;2;0;0
2018;Ponta Pora;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ADE MARQUES;113;0;113;0;2;0;0;0;0;111;0
2018;Rio Brilhante;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ETALIVIO PEREIRA MARTINS;51;0;51;0;1;0;0;3;1;46;0
2018;Gloria de Dourados;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE PROFª EUFROSINA PINTO;42;21;21;0;0;0;0;41;0;1;0
2018;Fatima do Sul;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE SEN.FILINTO MULLER;82;0;82;0;0;0;0;23;2;57;0
2018;Campo Grande;CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU;387;381;6;9;11;0;0;315;0;52;0
2018;Aquidauana;CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA;554;364;190;21;22;0;31;369;71;40;0
2018;Campo Grande;CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA - EXTENSÃO EE 26 DE AGOSTO;40;20;20;0;0;0;0;39;1;0;0
