AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2019;Campo Grande;C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA;342;318;24;0;11;0;1;33;0;297;0
2019;Camapua;CEEP MARCIO ELIAS NERY;205;189;16;23;11;0;0;0;0;171;0
2019;Ponta Pora;CEEP PROFªEVANILDE COSTA DA SILVA-EXT. UNIDADE PENAL RICARDO BRANDÃO;17;17;0;0;0;0;0;16;1;0;0
2019;Rio Brilhante;CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL DE RIO BRILHANTE;17;17;0;0;0;0;0;9;8;0;0
2019;Jatei;CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEM.LUIZ PEREIRA DA SILVA;15;15;0;0;10;0;0;5;0;0;0
2019;Ponta Pora;CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEMININO DE PONTA PORÃ;18;18;0;0;0;0;0;0;0;18;0
2019;Dourados;CEEP PROFªEVANILDE COSTA DA SILVA-EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS;18;18;0;0;0;0;0;14;4;0;0
2019;Ponta Pora;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ADE MARQUES;53;53;0;0;0;0;0;0;0;53;0
2019;Rio Brilhante;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ETALIVIO PEREIRA MARTINS;12;12;0;0;1;0;0;0;0;11;0
2019;Gloria de Dourados;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE PROFª EUFROSINA PINTO;21;21;0;0;1;0;0;20;0;0;0
2019;Fatima do Sul;CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE SEN.FILINTO MULLER;23;22;1;0;0;0;0;0;0;23;0
2019;Campo Grande;CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU;390;388;2;4;8;0;0;0;0;378;0
2019;Aquidauana;CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA;493;373;120;19;7;0;39;98;7;321;2
2019;Campo Grande;CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA - EXTENSÃO EE 26 DE AGOSTO;19;19;0;0;0;0;0;19;0;0;0
2019;Tres Lagoas;CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA - EXTENSÃO PROF. RAMEZ TEBET;52;52;0;0;0;0;0;0;0;52;0
2019;Campo Grande;CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA -EXTENSÃO EE HILDA DE SOUZA FERREIRA;16;16;0;0;0;0;0;16;0;0;0
2019;Cassilandia;CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA-EXT. ESTABELECIMENTO PENAL DE CASSILÂNDIA;13;13;0;0;0;0;0;0;0;13;0
2019;Campo Grande;CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA-EXT.ESTABELECIMENTO PENAL FEMININO IRMÃ IRMA;13;13;0;0;0;0;0;0;0;13;0
2019;Aquidauana;CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL DE AQUIDAUANA;19;19;0;0;0;0;2;0;0;17;0
2019;Corumba;CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL DE CORUMBÁ;19;19;0;0;0;0;4;0;0;15;0
2019;Jardim;CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL MÁXIMO ROMERO;19;19;0;0;0;0;3;0;0;16;0
2019;Dois Irmaos do Buriti;CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT.PNET. DE DOIS IRMÃO DO BURITI;17;17;0;0;0;0;4;0;0;13;0
2019;Dourados;CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS;1858;1801;57;50;5;0;0;0;0;1803;0
2019;Dourados;CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS;265;265;0;59;11;0;0;21;46;128;0
