Cidade;Escola;Dimensao;NotaDaDimensao;Area;NotaDaArea;Topico;NotaDoTopico;AnoDaAvaliacao
ÁGUA CLARA;EE CHICO MENDES;Gestão Administrativa;9.04124;Avaliação Normativa;9.26707;Gestão Escolar;9.24724;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Administrativa;9.04124;Avaliação Normativa;9.26707;Uso das Ferramentas da Gestão Escolar;9.29526;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Administrativa;9.04124;Administração Escolar;8.69498;Investimentos e Gestão de Recursos Humanos;9.16000;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Administrativa;9.04124;Administração Escolar;8.69498;Prestação de Contas;8.73298;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Administrativa;9.04124;Administração Escolar;8.69498;Transporte Escolar;8.06000;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Referencial Curricular;8.65588;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Projeto Político-Pedagógico / Proposta Pedagógica;8.37950;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Planejamento;8.89282;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Práticas Pedagógicas;9.37862;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Recursos Pedagógicos;8.74296;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Recursos Tecnológicos e Midiáticos;8.77369;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Sala de Apoio Pedagógico;6.25623;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Instrumentos Pedagógicos;8.53099;Atendimento Educacional Especializado / AEE;9.42000;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Modalidades Atendidas Pela Escola;7.85571;Educação Profissional;7.85571;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Avaliação;9.20955;Avaliação da Aprendizagem;9.34771;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Avaliação;9.20955;Avaliação de Desempenho / SAEMS;9.03250;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Avaliação;9.20955;Avaliação de Desempenho / Prova Brasil;9.28600;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão Pedagógica;8.66014;Índice de Educação;9.22636;Índice de Desenvolvimento da Educação Básica/IDEB;9.22636;2018
