Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
ANAURILÂNDIA;EE MARIA JOSÉ;Secretários Escolares;2018;Formação;Ensino Médio;1
CAMPO GRANDE;EE LINO VILLACHA;Diretores;2018;Pós-Graduação;Mestrado;1
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Professores;2018;Licenciatura;Geografia;3
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Professores;2018;Pós-Graduação;Especialização;27
IGUATEMI;EE 8 DE MAIO;Funcionários Administrativos;2018;Trabalha nesta escola;De 4 a 6 anos;2
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Avaliadores externos;2018;Você se considera;Branco;1
NIOAQUE;EE UIRAPURU;Diretores;2018;Exerce esta função;De 4 a 6 anos;1
DOURADOS;EE VILMAR VIEIRA MATOS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professora aposentada;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de aumoxarifado;1
BONITO;EE BONIFÁCIO CAMARGO GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;financeiro do hotel wetira;1
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;1
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciante;8
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Formação;Ensino Superior;34
NAVIRAÍ;EE EURICO GASPAR DUTRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;pedreiro;6
ANASTÁCIO;EE ROBERTO SCAFF;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 1 a 3 anos;1
CORUMBÁ;EE ROTARY CLUB;Coordenadores Pedagógicos;2018;Exerce esta função;De 1 a 3 anos;1
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Coordenadores Técnicos;2018;Você se considera;Branco;5
IGUATEMI;EE PAULO FREIRE;Professores;2018;Você leciona em;Uma escola;11
CORUMBÁ;EE ROTARY CLUB;Coordenadores Pedagógicos;2018;Sexo;Feminino;1
TRÊS LAGOAS;EE FERNANDO CORRÊA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;mecanico na fibria;1
ITAPORÃ;EE RODRIGUES ALVES;Funcionários Administrativos;2018;Trabalha nesta escola;Há menos de um ano;1
DOURADOS;EE PROF. JOSÉ PEREIRA LINS;Coordenadores Pedagógicos;2018;Você se considera;Branco;1
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Professores;2018;Exerce esta função;De 4 a 6 anos;10
CAMPO GRANDE;EE HÉRCULES MAYMONE;Coordenadores Pedagógicos;2018;Você se considera;Pardo;3
IVINHEMA;EE REYNALDO MASSI;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;fazenda pecuaria;1
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Secretários Escolares;2018;Sexo;Feminino;1
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;cabelereira;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professor;1
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Você se considera;Branco;43
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;Estudantes;2018;Você se considera;Branco;48
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Funcionários Administrativos;2018;Trabalha nesta escola;De 1 a 3 anos;14
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Professores;2018;Pós-Graduação;Doutorado (Incompleto);1
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Coordenadores Pedagógicos;2018;Idade;41 a 45 anos;1
ANASTÁCIO;EE ROBERTO SCAFF;Estudantes;2018;Ano escolar;Educação Profissional;10
CAMPO GRANDE;EE RUI BARBOSA;Pais ou Responsáveis;2018;Você se considera;Preto;7
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 4 a 6 anos;32
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Professores;2018;Idade;Mais de 50 anos;14
PARANAÍBA;EE MANOEL GARCIA LEAL;Coordenadores Pedagógicos;2018;Licenciatura;Letras;2
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de limpeza;1
DOURADOS;EE MARIA DA GLÓRIA MUZZI FERREIRA;Professores;2018;Licenciatura;História;3
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;gestao comercial;1
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Avaliadores externos;2018;Você se considera;Branco;1
NIOAQUE;EE UIRAPURU;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;1
SANTA RITA DO PARDO;EE JOSÉ FERREIRA LIMA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Assistente de Atividades Educacionais;3
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;gerente de um deposito;1
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Estudantes;2018;Idade;Mais de 30 anos;2
